Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
1.50003667808815e-08,0.11224564504656939,0.0,0.0,0.0,0.0,0.9999975521707208,4.7464440761540755e-06,5.4128061980452776e-08,1.3587216183360938e-08,3.7229591360850655e-08,1.3685570829809399e-08,1.534119824611558e-08,1.0724908522769204e-16,6.062433687056642e-17
1.5704397016468045e-08,0.11224565795157859,0.0,0.0,0.0,0.0,0.9999974358673568,4.968544230184174e-06,5.728490976983637e-08,1.4891290942950236e-08,3.902661468521488e-08,1.5129972665954464e-08,1.681347497217335e-08,1.2547894917818314e-16,7.326953240391253e-17
1.640842725205459e-08,0.11224567086581168,0.0,0.0,0.0,0.0,0.9999973194350185,5.1905842148767134e-06,6.048853476566271e-08,1.6254994237826576e-08,4.0836447947327256e-08,1.665684193644348e-08,1.8355388504239007e-08,1.4577384577409242e-16,8.78448334475219e-17
1.7112457487641134e-08,0.1122456837894024,0.0,0.0,0.0,0.0,0.9999972028732255,5.412564022520549e-06,6.373822514518426e-08,1.7678310889808707e-08,4.2659785749513006e-08,1.826738236962228e-08,1.996744694763689e-08,1.682618766909405e-16,1.0454763239820661e-16
1.781648772322768e-08,0.1122456967224825,0.0,0.0,0.0,0.0,0.9999970861814712,5.634483645411129e-06,6.703331308480604e-08,1.916122573273683e-08,4.4497278677659154e-08,1.9962779749617846e-08,2.1650184465276082e-08,1.9307324377670443e-16,1.2358663961931268e-16
1.8520517958814223e-08,0.11224570966518164,0.0,0.0,0.0,0.0,0.999996969359225,5.856343075850094e-06,7.037317167662457e-08,2.070372361286917e-08,4.634953638426682e-08,2.174420315462196e-08,2.3404159432479624e-08,2.2034020981926968e-16,1.4518209683339914e-16
1.9224548194400768e-08,0.11224572261762812,0.0,0.0,0.0,0.0,0.9999968524059331,6.078142306144986e-06,7.375721287494837e-08,2.2305789389161052e-08,4.821712964163413e-08,2.3612805781769123e-08,2.5229953208391784e-08,2.501970698363877e-16,1.6956599161990148e-16
1.9928578429987313e-08,0.11224573557994796,0.0,0.0,0.0,0.0,0.9999967353210205,6.299881328608854e-06,7.718488437094797e-08,2.3967407933655042e-08,5.0100593466805786e-08,2.556972620212502e-08,2.712816826562212e-08,2.8278011337927665e-16,1.9698226949893183e-16
2.0632608665573857e-08,0.11224574855226647,0.0,0.0,0.0,0.0,0.9999966181038923,6.521560135560054e-06,8.065566821904208e-08,2.5688564131670477e-08,5.2000428494976666e-08,2.7616088912634817e-08,2.9099427368590485e-08,3.182276043494191e-16,2.276870500369613e-16
2.1336638901160402e-08,0.11224576153470658,0.0,0.0,0.0,0.0,0.9999965007539346,6.743178719321905e-06,8.416907787906267e-08,2.7469242882144912e-08,5.391710393697639e-08,2.975300552372937e-08,3.114437180330307e-08,3.566797460226425e-16,2.619488369210502e-16
